Level1,Level2,Level3,Level4,Federal,State,Local
North-East,NE-3,05460,NULL,67972.8622,73886.5997,16949.7141
NULL,,99999,NULL,NULL,NULL,NULL
North-East,NE-5,05122,NULL,176124.7289,146463.4948,66082.7530
Central,C-4,05486,NULL,70901.3050,87248.7045,17702.9339
Central,C-2,05405,NULL,64109.2915,52757.2103,20906.5246
Central,C-5,0513,NULL,34466.3379,42383.3338,11124.6762
Central,C-7,0521,NULL,87962.8297,108982.7993,25833.1437
South-East,SE-4,05632,NULL,36700.8854,79246.6662,16333.3335
Central-North,CN-5,05226,NULL,56185.3383,46994.9151,24261.3718
Central-North,CN-7,05395,NULL,30432.2010,38657.6195,12287.3244
Central-South,CS-3,05577,NULL,49131.3794,70901.5627,17151.8672
North-East,NE-3,05491,NULL,79729.4137,68809.9343,24166.7142
North-East,NE-2,05354,NULL,157538.2582,182085.1440,41177.6962
Central-South,CS-4,05626,NULL,0.0000,32619.7059,0.0000
North-East,NE-5,05507,NULL,66607.1336,72735.9148,24181.1623
Central-South,CS-2,05544,NULL,45811.9055,47366.6009,18068.4007
North-East,NE-6,05660,NULL,0.0000,0.0000,0.0000
North-East,NE-6,05593,NULL,49338.7923,33341.9623,26031.1611
South-East,SE-6,05366,NULL,39516.3574,80539.6001,9613.6668
North-East,NE-3,05417,NULL,54568.1024,64595.8670,14544.9812
Central,C-7,05561,NULL,32791.3809,50329.0486,12489.8093
North-East,NE-7,0582,NULL,369348.7352,292387.8174,146395.9542
DUMMY,DUMMY,05983,NULL,NULL,NULL,NULL
South-East,SE-1,05595,NULL,60325.1434,33500.4571,23747.6484
South-East,SE-6,05205,NULL,39992.1763,45703.3537,11419.9053
North-East,NE-2,05187,NULL,78122.7253,80648.7339,21159.9342
Central-North,CN-1,05180,NULL,86339.5628,126532.4668,24146.5349
E-COMMERCE,FAMILY_MART_(FM),05970,NULL,44410.4854,67667.6191,14638.0001
South-East,SE-4,0560,NULL,116499.2332,151483.4391,48356.7238
CLOSE,CLOSE,05239,NULL,NULL,NULL,NULL
South-East,SE-1,05411,NULL,40657.6958,47182.2662,10775.2192
Central-South,CS-1,05638,NULL,22121.6100,28341.3531,11764.1333
Central-North,CN-3,05467,NULL,83595.9155,88438.8388,31956.4865
Central,C-4,05522,NULL,26070.4291,39780.0477,8823.0383
Central-South,CS-4,05317,NULL,0.0000,44703.9617,0.0000
North-East,NE-3,059,NULL,44023.0003,78443.3151,13563.3814
South-East,SE-3,05211,NULL,56820.9671,62048.8389,19090.6578
CLOSE,CLOSE,05362,NULL,NULL,NULL,NULL
CLOSE,CLOSE,05246,NULL,NULL,NULL,NULL
Central-South,CS-1,05402,NULL,39591.0377,36770.1245,10510.6385
North-East,NE-6,05606,NULL,44208.1437,36550.9345,15819.9337
North,N-4,0527,NULL,131668.4542,95693.6390,41634.0196
South-East,SE-3,05489,NULL,0.0000,131807.3622,0.0000
South-East,SE-4,05515,NULL,22986.5524,18173.9528,7638.3239
CLOSE,CLOSE,05523,NULL,NULL,NULL,NULL
North,N-2,05254,NULL,61670.0392,64708.7828,17622.5431
Central-South,CS-1,05397,NULL,38610.1246,42334.8482,9438.0383
Central,C-4,05176,NULL,34393.5245,37536.5913,13517.0767
North-East,NE-5,0551,NULL,84232.5104,98593.9064,22739.5622
North-East,NE-4,05642,NULL,70556.2529,0.0000,20182.1437
Central,C-3,05419,NULL,71073.1441,60169.0009,27274.7436
North-East,NE-5,05524,NULL,45450.1811,32680.0777,14845.6574
Central,C-3,0540,NULL,218817.4291,176189.9431,105508.3432
North-East,NE-5,05164,NULL,66162.9821,83050.3045,17676.6675
Central,C-6,05278,NULL,NULL,NULL,NULL
Central-North,CN-4,05500,NULL,110229.2956,97838.3434,28987.7524
Central-North,CN-2,05556,NULL,37994.1719,37924.3721,13126.0768
Central,C-2,05422,NULL,91211.0530,79848.9624,29032.5341
CLOSE,CLOSE,05344,NULL,NULL,NULL,NULL
Central-South,CS-4,0589,NULL,66852.5819,71970.4496,22689.6290
Central-South,CS-1,05388,NULL,25009.6288,47639.0481,8583.7528
Central-North,CN-3,05473,NULL,52862.7861,67052.9535,19013.1717
Central-North,CN-6,05118,NULL,105763.6088,131977.9619,32547.7332
North-East,NE-4,0535,NULL,37115.5768,37083.5047,14442.6193
Central-South,CS-3,0577,NULL,44533.7624,54670.7993,19761.9910
North,N-1,05154,NULL,203630.9356,199346.3164,52016.8107
Central,C-7,05508,NULL,52217.1764,74667.0868,11471.3241
Central-South,CS-2,05320,NULL,56459.0293,68556.6765,22434.5913
Central,C-7,05128,NULL,48003.2776,50244.8008,19178.9340
Central-North,CN-7,05542,NULL,25604.6479,31168.0192,8243.9337
South-East,SE-2,05573,NULL,29738.7619,28440.4479,10222.8858
Central,C-4,05437,NULL,87578.6433,89550.1910,28656.3820
South-East,SE-5,05414,NULL,141833.5096,148987.5253,46748.2108
E-COMMERCE,YAHOO,05953,NULL,0.0000,0.0000,0.0000
Central,C-2,05274,NULL,67484.5272,60042.9522,27679.4770
North,N-4,05602,NULL,34427.0467,31631.3811,7590.1335
Central-North,CN-7,05513,NULL,42659.8674,43707.0280,13276.5051
Central-South,CS-3,05663,NULL,0.0000,0.0000,0.0000
Central-South,CS-1,05341,NULL,57878.6102,53924.8959,15584.3336
Central-North,CN-2,0562,NULL,194831.3009,237126.3333,58304.6677
South-East,SE-6,05351,NULL,39223.0576,48068.0772,11370.7426
South-East,SE-6,05270,NULL,38406.7525,34581.5906,11811.3428
North,N-4,05468,NULL,35587.5527,29112.7335,7320.8575
E-COMMERCE,7-11,05988,NULL,90724.7805,52125.7140,24357.9233
Central,C-8,05355,NULL,75759.0002,74122.9245,30610.4477
CLOSE,CLOSE,05387,NULL,NULL,NULL,NULL
Central-North,CN-7,05104,NULL,71787.6398,119565.9521,21671.3721
Central-North,CN-8,05480,NULL,80440.2398,75981.9430,26817.3056
Central-South,CS-3,0570,NULL,53551.3359,63748.1228,15264.8285
Central-North,CN-2,0591,NULL,62831.1813,60105.5914,20052.8771
Central-South,CS-4,05350,NULL,43273.9334,35007.0954,20725.6857
Central,C-2,05193,NULL,75668.9147,85006.4664,28010.9716
Central-North,CN-7,05570,NULL,42579.5809,76352.9343,13441.8001
Central-South,CS-1,05645,NULL,32509.4578,0.0000,10663.0574
CLOSE,CLOSE,05445,NULL,NULL,NULL,NULL
South-East,SE-6,05449,NULL,39422.2386,43709.6002,15607.6099
North-East,NE-6,05609,NULL,52941.9431,40145.0763,19092.0765
Central-North,CN-4,05644,NULL,51189.0098,0.0000,14563.7240
North-East,NE-3,05610,NULL,66282.1640,57291.0190,19199.8488
Central,C-2,05520,NULL,39180.6183,54910.8481,16690.9522
Central-North,CN-1,05479,NULL,60270.6536,72999.8386,18158.8767
Central-North,CN-4,05552,NULL,0.0000,96238.7996,0.0000
Central,C-3,05519,NULL,90138.5722,142596.9226,27435.7054
Central,C-3,05269,NULL,69600.0861,78406.2002,25979.4383
Central,C-2,05159,NULL,111612.5053,108808.0673,34450.6387
Central-North,CN-6,05201,NULL,79324.5257,53600.5814,35058.6968
Central-South,CS-3,05478,NULL,64047.6469,48211.4677,23227.4858
South-East,SE-3,05654,NULL,15495.1050,0.0000,5873.5431
Central-North,CN-2,05539,NULL,55378.0506,77396.6096,14891.6860
Central-South,CS-4,05371,NULL,35798.8948,43290.9250,16476.0569
South-East,SE-6,05326,NULL,41565.9905,52195.2863,15742.3619
NULL,,991001,NULL,NULL,NULL,NULL
North,N-5,05160,NULL,45864.2482,44984.0760,14958.3147
Central,C-1,05312,NULL,68930.8263,70998.3431,23207.5809
North,N-3,05358,NULL,90939.0630,101058.3524,28581.0867
Central-North,CN-5,05665,NULL,0.0000,0.0000,0.0000
North,N-4,05241,NULL,100320.3179,87333.1676,37512.1518
Central-North,CN-2,05266,NULL,117436.2973,118774.6108,38295.6769
South-East,SE-1,05305,NULL,86440.7700,97400.4200,29361.8500
Central,C-5,05566,NULL,41091.9342,34938.4960,14849.2291
Central,C-5,05361,NULL,83268.2968,97061.9054,23225.7248
Central,C-3,05394,NULL,115929.3229,82977.6764,17014.4007
Central,C-6,05304,NULL,29491.3148,59641.9902,10733.0099
Central-North,CN-4,05662,NULL,0.0000,0.0000,0.0000
DUMMY,DUMMY,05982,NULL,NULL,NULL,NULL
Central-North,CN-2,0574,NULL,45310.2292,82457.8205,16737.1336
DUMMY,DUMMY,05884,NULL,NULL,NULL,NULL
South-East,SE-4,0571,NULL,27441.3904,28994.0570,11630.0288
North-East,NE-5,05614,NULL,53169.5914,58829.7822,16459.4958
North-East,NE-2,05649,NULL,29902.9433,0.0000,10161.0001
South-East,SE-4,05390,NULL,45301.6391,48953.5812,17959.1148
North,N-2,0537,NULL,125393.6275,69735.6001,44940.3712
Central-North,CN-1,05165,NULL,72226.1347,77173.1347,23118.9054
North-East,NE-5,05288,NULL,74415.7814,109580.2753,22085.0105
North-East,NE-3,05443,NULL,40095.8467,48463.9050,11852.4763
North-East,NE-2,0531,NULL,637965.0455,462089.1615,233202.4495
Central,C-5,05429,NULL,28529.2289,31154.5046,7843.7528
Central-North,CN-8,05604,NULL,38094.6192,30732.0866,15608.2004
South-East,SE-4,05248,NULL,134533.6767,149907.4297,65787.9727
Central,C-7,05643,NULL,28537.2957,0.0000,9400.5624
North-East,NE-4,05207,NULL,41104.0005,54734.2862,10584.2289
Central-South,CS-1,05302,NULL,83568.6206,93359.4496,25389.2107
North-East,NE-6,0510,NULL,163212.6088,179537.6473,45876.7252
CLOSE,CLOSE,05247,NULL,NULL,NULL,NULL
North,N-5,05227,NULL,55976.8570,64454.6100,16536.1341
North-East,NE-6,0556,NULL,59894.9670,103383.0961,21007.0388
Central-North,CN-7,05258,NULL,87145.2114,113831.7523,34048.3898
Central-South,CS-1,05334,NULL,37271.5811,49580.4382,13245.8576
E-COMMERCE,E-COMMERCE,05994,NULL,0.0000,0.0000,0.0000
North,N-2,0558,NULL,110420.8206,115649.6199,31176.9252
North-East,NE-1,05140,NULL,170177.9949,154039.9915,56747.8963
Central-North,CN-4,05137,NULL,71573.6623,84204.4667,25992.5528
DUMMY,DUMMY,05888,NULL,NULL,NULL,NULL
Central-North,CN-1,05297,NULL,72749.2287,71932.3719,19285.3717
South-East,SE-6,05131,NULL,69430.9871,70094.8199,27301.0197
Central-North,CN-8,05313,NULL,61639.2383,52721.6486,19391.9435
North,N-3,0533,NULL,86654.2877,85282.4383,31217.4290
North-East,NE-4,05225,NULL,119263.5813,134264.8670,35216.1817
Central-South,CS-2,05406,NULL,74241.1010,64445.0677,31830.4486
Central,C-6,0592,NULL,67391.8958,88342.5619,28330.3720
South-East,SE-1,05448,NULL,62280.0421,65892.4571,23853.8394
North,N-5,0553,NULL,55675.2599,87385.6579,18731.3340
Central-North,CN-2,05265,NULL,88256.5525,79995.0755,29925.9906
CLOSE,CLOSE,05459,NULL,NULL,NULL,NULL
North-East,NE-6,05249,NULL,144191.4753,155144.2959,49456.2570
South-East,SE-5,05410,NULL,75792.5516,60351.8777,31514.2280
South-East,SE-3,05127,NULL,51604.5238,51686.2566,22162.2477
South-East,SE-1,05585,NULL,27652.4480,35341.1620,11816.3619
North-East,NE-2,05630,NULL,109600.3225,129061.1642,45316.1130
E-COMMERCE,YAHOO,05952,NULL,0.0000,0.0000,0.0000
North,N-5,05435,NULL,62801.4192,78638.4480,24125.8761
North,N-4,0590,NULL,166229.4357,171482.5714,51169.7903
North-East,NE-4,05108,NULL,180348.1625,208744.1148,70822.1915
North-East,NE-3,0511,NULL,204959.7589,182000.7816,74923.7546
Central,C-6,05146,NULL,56317.4041,62246.2371,21460.5714
CLOSE,CLOSE,05192,NULL,NULL,NULL,NULL
South-East,SE-3,05325,NULL,37964.9932,40503.6387,7758.7715
North-East,NE-7,05329,NULL,75403.0396,91108.7151,20415.0198
Central,C-2,05671,NULL,NULL,NULL,NULL
South-East,SE-2,05134,NULL,53819.3048,40253.5144,18947.7046
South-East,SE-3,05177,NULL,80695.4578,108020.8950,35006.1810
North,N-4,05120,NULL,77062.7907,84096.0485,22266.1715
Central,C-8,05493,NULL,217938.8200,278771.5800,65957.4300
North-East,NE-6,0576,NULL,124930.6508,124362.5804,41939.5912
Central,C-8,05124,NULL,64593.5626,80958.4387,22213.2292
Central-North,CN-4,05615,NULL,32698.1339,27888.5812,12224.6099
North,N-3,05158,NULL,78764.7349,68158.2384,19847.7433
Central,C-7,05594,NULL,34252.5626,39904.2853,15498.8672
North,N-5,05203,NULL,72328.7626,62091.4291,21142.0104
North-East,NE-2,05557,NULL,49044.5815,39814.9619,14607.5049
Central-North,CN-3,05267,NULL,0.0000,106146.1245,0.0000
South-East,SE-2,05255,NULL,75214.1807,89594.1635,27716.4189
Central,C-1,05427,NULL,33701.4486,50085.7822,7792.9716
Central-North,CN-7,05400,NULL,64849.6957,87017.2294,21428.3628
Central,C-2,05430,NULL,33978.6948,42484.2670,13909.0282
Central-North,CN-4,05651,NULL,80972.6860,0.0000,31358.6003
North-East,NE-3,05421,NULL,50645.2386,50431.2953,14585.1434
Central,C-5,05256,NULL,57701.2377,76777.9427,22147.9332
North-East,NE-1,05501,NULL,46760.6289,49926.2864,14542.5906
Central-North,CN-1,05277,NULL,114392.7910,121694.3633,39831.3723
CLOSE,CLOSE,05574,NULL,NULL,NULL,NULL
Central,C-1,05346,NULL,61498.2188,61648.8383,22120.9520
Central,C-6,05646,NULL,40220.5237,0.0000,13464.8768
North,N-2,05580,NULL,41575.3237,50790.8673,10345.4193
North-East,NE-2,05107,NULL,68072.8392,82474.1617,22541.3817
South-East,SE-6,05349,NULL,30861.3063,28583.4390,13653.6768
North,N-1,05639,NULL,124818.8718,0.0000,49514.9053
Central-North,CN-4,05385,NULL,75538.3056,74868.6284,24333.2675
CLOSE,CLOSE,05442,NULL,NULL,NULL,NULL
North-East,NE-7,05141,NULL,56545.1054,47472.5151,16654.1908
Central,C-1,05432,NULL,54030.8203,69912.6763,23985.3147
North-East,NE-4,05563,NULL,36073.5626,35414.0479,11687.9240
CLOSE,CLOSE,05296,NULL,NULL,NULL,NULL
North,N-5,05581,NULL,57354.6385,69203.6020,16419.0002
Central,C-3,05393,NULL,70857.6542,62689.7431,21704.3153
Central,C-3,05337,NULL,75526.4778,80475.5145,28174.0867
Central,C-2,05167,NULL,80116.4575,69683.4859,27872.2571
North,N-5,05166,NULL,63237.7825,85912.6571,17202.8968
Central-North,CN-7,05532,NULL,22541.1626,33364.4572,7674.5909
Central,C-1,0529,NULL,530164.0893,458053.1445,245741.6688
North,N-2,05454,NULL,59893.7624,86816.8863,16288.2003
Central-North,CN-2,05431,NULL,55187.0762,76021.0190,26326.0772
Central-North,CN-5,05303,NULL,NULL,NULL,NULL
North,N-3,05598,NULL,31977.6294,33285.1429,8647.3150
North-East,NE-6,05223,NULL,55831.2960,72140.0098,16004.9908
DUMMY,DUMMY,05933,NULL,NULL,NULL,NULL
North-East,NE-5,05199,NULL,50037.1533,59556.1244,15873.7717
North,N-1,05490,NULL,276136.1053,167520.9426,89291.0865
North-East,NE-2,05123,NULL,105090.8571,129691.5533,38902.8766
Central-North,CN-5,05132,NULL,142063.0015,110441.2878,46885.5153
Central-North,CN-7,05347,NULL,49482.9426,64837.5622,17321.9147
Central,C-5,05391,NULL,89426.5051,87078.5045,54534.3434
North,N-5,05537,NULL,61356.0780,49133.7812,21642.9047
North,N-5,05617,NULL,36455.5141,40041.3146,10848.9909
North-East,NE-4,05551,NULL,35035.6285,36646.3815,10593.3622
Central-North,CN-6,05622,NULL,38192.9151,38383.0102,14495.6866
Central-South,CS-1,05113,NULL,40689.2106,45092.0851,18000.7718
North,N-1,05173,NULL,NULL,NULL,NULL
NULL,,050,NULL,NULL,NULL,NULL
NULL,,991000,NULL,NULL,NULL,NULL
Central,C-6,05600,NULL,50475.5529,41562.6766,21922.1334
Central-South,CS-4,05620,NULL,18130.9336,31347.5713,8883.2482
CLOSE,CLOSE,05321,NULL,NULL,NULL,NULL
South-East,SE-5,05434,NULL,77587.8292,88938.5132,27836.4769
South-East,SE-4,05307,NULL,59926.8314,52046.4084,21836.4478
Central,C-3,05403,NULL,56068.8773,50331.5147,21945.7435
CLOSE,CLOSE,05332,NULL,NULL,NULL,NULL
Central,C-6,0595,NULL,44761.0201,60944.3914,13803.7818
South-East,SE-3,05188,NULL,56205.5857,58844.6482,23191.4096
TMALL,TMALL,05962,NULL,0.0000,1302.2700,0.0000
Central-North,CN-1,05488,NULL,32853.1810,40635.8287,14476.0005
Central-North,CN-3,05658,NULL,41731.8475,0.0000,12005.7240
Central-North,CN-3,05567,NULL,0.0000,11458.6572,0.0000
NULL,NULL,NULL,NULL,NULL,NULL,NULL
North,N-2,05328,NULL,61743.6675,59552.7907,19271.4293
Central,C-3,0593,NULL,59968.0489,147712.2961,20355.9246
DUMMY,DUMMY,05918,NULL,NULL,NULL,NULL
DUMMY,DUMMY,05919,NULL,NULL,NULL,NULL
North,N-5,05196,NULL,54875.4394,57635.0769,18222.3245
South-East,SE-2,05372,NULL,38740.5014,46507.0187,12059.2198
North-East,NE-2,05534,NULL,110417.3785,158286.2778,34648.6276
Central,C-4,0588,NULL,100508.6784,119526.8567,30426.9248
Central-North,CN-6,05109,NULL,50090.2766,60893.6189,14060.2195
Central,C-2,05101,NULL,83590.7054,120325.6949,26985.1243
South-East,SE-4,05457,NULL,35731.0575,45898.2381,13530.6382
CLOSE,CLOSE,05238,NULL,NULL,NULL,NULL
South-East,SE-6,05611,NULL,0.0000,19803.4478,0.0000
South-East,SE-2,05599,NULL,76915.2143,49196.5237,19049.1615
South-East,SE-2,05163,NULL,61780.7870,57625.8284,18436.7146
Central-North,CN-5,05623,NULL,51644.3724,49080.9621,15459.5719
North,N-5,05575,NULL,0.0000,25985.8193,0.0000
DUMMY,DUMMY,05984,NULL,NULL,NULL,NULL
North-East,NE-5,05133,NULL,50937.4198,61992.6196,18696.2676
North,N-5,05378,NULL,65212.5721,98443.5913,17628.4387
Central,C-6,05375,NULL,23922.8261,22105.3335,6402.5144
Central,C-1,05505,NULL,50523.5153,47647.0012,16517.4767
Central,C-8,05110,NULL,36419.0281,54480.8949,12487.7620
Central-North,CN-4,05169,NULL,100593.9819,130430.7995,33229.8391
North-East,NE-2,05181,NULL,71579.9531,73466.4973,23321.6197
North,N-3,05451,NULL,79980.6012,104381.0379,24121.2674
South-East,SE-5,05291,NULL,151210.7015,76382.5236,52418.1052
Central-North,CN-7,05281,NULL,61409.6960,64535.7053,17876.4293
South-East,SE-2,05558,NULL,33164.1629,32095.5812,10105.8485
Central-North,CN-1,05323,NULL,90720.9870,95233.2772,25927.2585
DUMMY,DUMMY,05920,NULL,NULL,NULL,NULL
Central-North,CN-5,0596,NULL,82858.2100,100559.3517,29767.3532
North,N-4,05170,NULL,60622.0375,76374.9897,19742.7525
Central-South,CS-4,05259,NULL,42142.9029,101507.1709,14533.0288
Central-North,CN-1,05149,NULL,43989.8961,54685.4863,16845.1814
Central,C-8,05126,NULL,40481.0485,49902.1137,19339.1818
South-East,SE-5,05590,NULL,0.0000,0.0000,0.0000
Central-North,CN-4,05260,NULL,60866.0190,66376.4959,25272.9146
Central-North,CN-8,05217,NULL,55408.3434,67511.5717,16945.7048
South-East,SE-1,05439,NULL,84090.0581,86515.2957,25783.8669
Central-South,CS-2,05331,NULL,40218.5814,63986.7815,15500.6957
Central-North,CN-5,05584,NULL,67070.3428,72515.5911,19687.3907
North-East,NE-7,05119,NULL,128069.3543,123685.9447,41694.2680
North-East,NE-1,05521,NULL,47865.2671,57798.2675,10281.4195
TMALL,TMALL,05961,NULL,0.0000,86547.2502,0.0000
DUMMY,DUMMY,05911,NULL,NULL,NULL,NULL
South-East,SE-1,05222,NULL,37843.2302,35158.2567,10860.7626
Central-North,CN-7,05666,NULL,0.0000,0.0000,0.0000
Central-North,CN-2,05512,NULL,75259.7523,77318.2189,21289.4194
Central-North,CN-6,05446,NULL,47846.2810,58879.2671,17096.2381
North-East,NE-1,0564,NULL,166303.3906,154422.5807,61182.3813
North-East,NE-2,05360,NULL,30693.9240,30426.7053,11771.2381
North,N-4,05667,NULL,0.0000,0.0000,0.0000
Central-South,CS-2,05664,NULL,0.0000,0.0000,0.0000
Central-North,CN-6,05316,NULL,48542.6008,41117.0774,10460.1245
North,N-5,05591,NULL,24435.0480,40971.6003,8197.0101
Central,C-5,05408,NULL,51134.6665,77797.5823,15832.2573
Central,C-2,0543,NULL,40360.5837,59491.9432,9735.2572
South-East,SE-5,05306,NULL,61880.4771,49086.7530,23513.9911
North-East,NE-1,05335,NULL,70635.5820,65223.7813,20661.1150
DUMMY,DUMMY,05914,NULL,NULL,NULL,NULL
Central,C-3,05425,NULL,87348.8476,89796.2189,25118.7818
North-East,NE-7,05499,NULL,83388.1436,87953.7338,26019.0964
CLOSE,CLOSE,0550,NULL,NULL,NULL,NULL
Central-North,CN-8,05262,NULL,29105.0959,35186.0282,11624.7243
North-East,NE-6,05535,NULL,0.0000,25402.5237,0.0000
CLOSE,CLOSE,0585,NULL,NULL,NULL,NULL
Central,C-4,058,NULL,80962.5105,64917.7809,34714.8391
North-East,NE-1,05603,NULL,76495.5235,105570.0005,21847.2858
Central-North,CN-5,05536,NULL,67520.8323,83840.2974,24115.8672
Central-North,CN-5,05657,NULL,100937.1242,0.0000,38679.0480
Central-North,CN-8,05224,NULL,50317.5720,42086.6760,14673.4670
Central,C-6,05318,NULL,42021.5807,62736.2771,17531.8763
